PID,Have you ever used AI tools or assistance in your work?,Which AI tools have you used? (Select all that apply),For what purposes have you used AI tools?,How frequently do you use AI tools in your work?,"To what extent has AI assistance improved your productivity? (1 - Not at all, 2 - Slightly, 3 - Moderately, 4 - Significantly, 5 – Drastically)","How much do you trust the output generated by AI tools? (1 - Not at all, 2 - Slightly, 3 - Moderately, 4 - Significantly, 5 – Drastically)",What challenges have you faced while using AI tools? (Select all that apply),Do you prefer working with GitHub Copilot or with a peer? Please explain.,Do you think your concentration is better when working with GitHub Copilot or with a peer? Please explain.,Do you think the quality of your code is better when working with GitHub Copilot or with a peer? Please explain.,Do you think you work faster with GitHub Copilot or with a peer? Please explain.,Do you trust your solution more when using GitHub Copilot or when consulting a peer? Please explain.,"Do you retain information about your solution more when using GitHub Copilot or when consulting a peer? If asked to solve the tasks again without Copilot or a peer, which solutions would come to mind more easily? Copilot’s? Your peer’s?",Explain your solution briefly for the edge case handling in update_processcount method.,Explain your solution briefly for the fallback logic in get_io_counters method.,Explain your solution briefly for adding the new method serve_limited.,Explain your solution briefly for the logging in the authentification of check_user method.,Explain your solution briefly for adding a PluginStatistics class.,Explain your solution briefly for the optional filtering in the getAll function.,"On a scale of 1 to 10, estimate the overall difficulty of the tasks you were asked to complete. Please specify a number. (1: very easy – 10: very difficult).",To what extent did you rely on the AI's suggestions in your tasks? (1 - Not at all    2 – Slightly.    3 – Moderately  4 - Very much 5 – Completely),To what extent did you rely on your peer’s suggestions in your tasks? (1 - Not at all    2 – Slightly.    3 – Moderately  4 - Very much 5 – Completely),"After completing the tasks, would you do anything differently next time? Please explain.",Any additional comments?
p100,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Documentation or comments",Occasionally,3,2,"Incorrect or irrelevant suggestions, Ethical concerns about data privacy or security","I think Copilot because it has all the context and I don’t have to waste time explaining it. Furthermore, communicating with a pair in a « written » manner is, in my opinion, less effective.","Copilot, because i’m constantly feeling that I’m annoying the person I ask questions to.","No opinion, I haven’t worked enough with both to judge. Most likely an experienced peer would have more relevant comments on code quality.","Copilot, again because there is no need to explain the context of the classes that I’m writing code into. This saves a lot of time.","Most likely with a peer, because even if suggestions are good and quick helps are appreciated for Copilot, I don’t believe it can appreciate the whole quality of the solution with a broader eye or understanding.","Probably a peer, but it is hard to say. The peer experience feels like I annoy a human, so I most likely will think twice before asking the question. This means I most likely will think about it more, and thus retain more information about the answer if I end up asking it.",N/A,N/A. I had a hard time understanding that task so I skipped it.,"For loop for the number of requests permitted and logging at the beginning and end. I was unsure if there was async issues to deal with, but it seemed the call was a blocking one, so I assumed not.","I added a variable to store the state of the evaluation of the check_password method and used that to add the information to the logger alongside the username. Regarding the return False at the end, i just used the same logger with False as a value.","This was challenging because I don’t think I ever implemented a class in python. I had to figure out the constructor, and then I created two functions that returned the length of the plugin list returned (whether activated or not). I did not like the fact that I had two functions like that, but I could not think of a clean way to use just one with optional parameters.",N/A,3,4,2,"I would read the third peer-assisted task, which I forgot to do and might have helped me spend my time more efficiently. Also, i would give more context to the peer programmer, because i felt lack of context really did not help the person to understand and help me.","I think it is important to take into account the participant’s experience with the programming language. I would have been way more efficient with Dart, C# or even Java :)"
p101,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Documentation or comments, boilerpatle (generation de template de class et module de code )",Daily,3,1,Incorrect or irrelevant suggestions,Copilot because I know it does not bother a peer and that communication is easier. Not need for fancy formatting.,"My concentration stays the same for Copilot and alone. However, with a peer, the human side a thing leads to distraction. There is a social part of the interaction that does not contribute to the code itself. It helps with the mood tho 😉","With a peer, how ever the peer needs to be familiar with the code base and the inform captain of the project otherwise it rarely helps. Copilot is like mentoring a junior developer on that sense.",With copilot I work faster because the feedback loop is faster and there is no fuss. ,I thrust more with a peer because more thoughts when into the solution.,"No applicable, I retain information the same.","I did not finish that one, however, the filter function had already the get status in place, so then it would have been to modify the predicate in order for the function to filter out the edge case depending on the status value, I did not find which status code were an int or an enum, or a string.","I add the timestamp at the end of the array, updated the comment and used the number of seconds since epoch to make it a number like the others in that array. I then notice that changing this array had butterfly effect and updated the case of update by coping that value. I chose the end of the array to not mess with the index so other places that used the index stayed the same.","Added the method, did not get around to add the call to the check in the handle function.",Did not try.,Added the new class and relevant stats in the dictionary,Did not find where the name attribute could be found in order to do a filter on it.,7,2,3,"Yes, I would use VSCode.","Niveau d’experience sur la task en particulier
De prog bas niveau/ de conception"
p102,Yes,"ChatGPT, Copilot (GitHub), Gemini, Claude","Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Daily,3,3,"Incorrect or irrelevant suggestions, Ethical concerns about data privacy or security",With Github Copilot because I feel like I have trouble explaining my questions in my clear understandable way.,Around the same,Better with a peer because I am thinking more extensively about the code that I am writing,Faster with GitHub Copilot as it can generate the code instantly,"I trust my code better when consulting a peer because I am always slightly skeptical of AI generated code. In theory, a peer should have better context of the code.","I retain information better from a peer. With Copilot, I tend to do just copy paste code, especially if I am tired. With a peer, I have to translate the words into code.

The peer`s solutions would probably come to mind more easily, although in this test I only asked one specific question.",Stack up the v.get() in the lambda method,Add the timestamp in the else portion at the end,Did not complete,Adding a log after each verification ,Did not complete,"Add an optional parameter and if that parameter is not None, add the filtering",6,3,4,Maybe just re-read the questions more carefully.,nope
p103,Yes,"ChatGPT, Copilot (GitHub), Claude (Anthropic)","Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Daily,3,3,Incorrect or irrelevant suggestions,"Github Copilot, as I won`t feel I am disturbing someone too much.","With Copilot, it answers more precisely. ","With Copilot, as it is syntactically correct most of the time, it anticipates, before I even ask. Pair programmer can`t understand in advance what I would need.","With Copilot. It does not ask for a lot of clarifications, it gives the answer directly. ","I trust more the peer, especially if  I know it`s an experienced programmer. On the other hand Copilot  may know better the details of syntax and function parameters to use.","I think the peer, because I would need to spend more time on explaining.",,I just appended the timestamp.,"I checked the threshold of number of requests, if it was exceeded I terminated.",I just logged the username and if the log in was successful using the logging module.,I added the class that inherited from another class. ,I added the filtering option included in the list comprehension.,4,5,3,I would make sure I know how to get certain symbols from the keyboard. With copilot I did not need to worry about it.,Good luck in your study! Feel free to reach out to me!
p104,No,"ChatGPT, Copilot (Microsoft)","Image generation, chatbot for fun",Rarely or never,1,2,"Incorrect or irrelevant suggestions, Ethical concerns about data privacy or security, Didn’t feel the need to add it to my workflow",I preferred the peer. It felt more like they were trying to figure out the answer with me,I didn’t feel a difference,"With a peer. I feel like the suggestions were more structured. It felt like it was made to interact with the rest of my code, not just a one-line function with no context.","It’s similar, but copilot felt a bit faster just from the speed of answers",With a peer. It feels like it would be easier to ask for corrections while I feel like copilot would get lost ,Both feel like I retained them the same,Didn’t have time,Didn’t have time,Didn’t have time,"I checked if the password was right for that username, and if it was, I logged that there was a successful authentification for that username, otherwise I logged a failed authentification.","I used the function to get a list of all active plugins, then returned the size of the result",Didn’t have time,"3 (t looked like pretty easy tasks, I felt like I could have pseudo-code for each task, but I struggled with remembering proper python syntax, so to me it ended up being more like a 9.)",3,4,"Ask for help earlier when stuck, both from copilot and the peer. I feel like it unstuck me each time, I just wasted too much time trying to go by memory.","My understanding of python is a lot worse than I thought. I realized that I tend to lean and move a lot when I work, so I had to force myself to not move too much."
p105,Yes,"ChatGPT, Copilot (GitHub), Google Gemini, Copilot Entreprise","Generating code, Debugging or troubleshooting, Idea brainstorming, Market Research and customer segmentation",Daily,5,4,"Incorrect output, lack of understanding from ai models of what is wanted by me (the user)",Copilot because it generates answers instantly and it is easier to explain to a LLM what I want to achieve.,"AI, as my work style is towards solitary concentration on the problem, not too much distracting myself with another person’s communication style and interpersonal relationships. I feel freer working with ai by myslef",I believe with a peer to peer as people still code slightly better than LLM that don’t necessarily understand the code they write as much as humans do,AI because I can receive answers almost instantly,Peer because a experienced human being understands what the code does internally while ai just outputs the most probable words without comprehension of said words,Easier for me to retain information with ai as I better learn by myself,n/a,n/a,"I implemented a while loop and checked the authentification again and if the authentification wans t adequate, I returned false, else if the authentification was adequate I returned true",I configured the config parameters and I did a simple switch case check for authentification,N/A,N/A,7,4,4,"Given more time, I would first read and reread the code, also if time is not available, I would copy paste the class directly to ai and peer programmer so as to have more time to problem solve/parallel work","It was pleasant, thank you"
p106,Yes,"ChatGPT, Copilot, Perplexity AI, Claude","Idea brainstorming, Explaining certain concepts in different ways",Occasionally,2,3,"Incorrect or irrelevant suggestions, Difficulty integrating AI suggestions into my workflow","With a peer, when working with a peer I feel like they understand the problem and the codebase better. With a peer you can often have random discussions that unexpectedly help solve an unrelated problem, which is something I have yet to see with AI. For repetitive tasks, like logging, using AI is often useful, because it reduces the amount of boilerplate code I have to write.","It depends on the situation. If both me and my coworker are focused on the same problem, I tend to stay focused on the task. If the coworker messages or comes to see me for an unrelated task, I’m less focused, whereas Copilot will not distract me as often. I should not that sometimes copilot makes certain suggestions that aren’t very relevant to the problem at hand, and sometimes that makes me lose focus, because I try to understand why it would suggest something unrelated.","I believe my code quality is better with a peer, since the peer will also focus on readability, and not just the output. Furthermore, the peer also has codebase specific knowledge, they can help reduce the quantity of code I rewrite, because I could reuse a function of class defined somewhere else in the codebase. This is something I noticed copilot struggle with if the function or class is not in the same file.","It depends, for similar reasons stated in Question 15. I think I’m faster with Copilot when writing tests, since the logic for testing is often repetitive and I can very easily validate the output produced by Copilot to make sure the code does what it’s intended to do.",When consulting a peer. Copilot can often hallucinate and produce code that seems correct. Consulting with a peer gives me more confidence that my code is correct.,"I retain information more easily when consulting a peer, since I’m actively focusing on the code and task at hand. With Copilot, it’s very easy to go on autopilot and lose focus, since I’m not as actively engaged as wen I’m coding on my own or with a peer. I also think discussing a problem with a peer helps you remember the problem and solution more easily, since you tend to remember discussions with people, whereas discussing with AI is often less memorable.","I saw there was a comparison of objects with “is”, which checks that the two objects are the same object in memory instead of having the same values, so I changed “is” to “==”",Created the timestamp in the “else” and inserted it at position 0 to avoid placing it before the tag,"Created serve_limited method, which takes a limit as a parameter. Verifies that the limit wasn’t reached before serving a request. Increment a counter each time a request is served. I also added logging to know when we started serving requests, when a request was served and when the limit of served requests was reached.","Added logs when a user tries to log in, when the user is found in the users, when the user successfully logs in, a log warning when the user does not log in successfully.","Created the class, with a method that takes the class with the plugins and calls the method twice, once to get the active plugins, another for the inactive plugins. I take the lengths of the lists to compute the statistics.","I ran out of time, since I spent too much time on PluginStatistics overthinking what to do",4,3,1,I would stop overthinking so much at the start and simply have confidence in my solutions and understanding of the tasks.,
p107,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Occasionally,4,4,Lack of explainability in AI outputs,"GitHub Copilot, because I can freely ask any questions and receive a variety of feedback on topics that I didn’t know that I needed. I can also go deeper in the subject.","Github Copilot, I get the answer I’m looking for quickly and can give me a start even if my question is not clear","With a peer, he can easily comprehend the whole project and can see where my codes can improve, and which logic can be more appropriate for this context. The answer is more precis and personalized.",GitHub Copilot because it can generate the code and give me the exact answer with minimal errors.,"With a peer, because someone with more experience can see things that I didn’t see, and I can easily explain why I think this solution is good. He can understand my thought process and see where I’m trying to go.","My peer, because it generally takes time to get to the answer and I would not like to ask someone for the same answer again so I’m more willing to understand and memorize it. With Copilot, I know I can ask the same question over and over and get the answer so I would not bother memorize it.",n/a,n/a,n/a,n/a,n/a,Create another variable to collect the selected plugins and use the variable to rest of the code.,7,5,1,I didn’t know what to ask the peer programmer since I was too busy reading and understanding the code I think I should have asked to help me understand right away instead of trying by myself so much.,I think the time limit of 15 minutes is short for a unknow project and 3 tasks to accomplished. I spend most of my time trying to understand what to do and very little on solving.
p108,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Debugging or troubleshooting, Documentation or comments",Occasionally,2,1,"Incorrect or irrelevant suggestions, Difficulty integrating AI suggestions into my workflow, Lack of explainability in AI outputs, Ethical concerns about data privacy or security","It depends on the context, if I can have a live discussion with someone, I will prefer a peer, if it is only via chat and the answer is not too much complicated Github Copilot, and if the project is well documented.","I think it is better when working with Github copilot, it is easier to ask it the question because I can just select the source code, with a peer, especially on text, it is more disturbing, answer is longer and you need to provide more context. In a call for instance, a peer would be better.","I don’t think it changes, in both cases, I feel less confident with copilot suggestions than with a pair.",I think Copilot is faster because the answer is really fast.,"Consulting a peer, a peer have maybe more knowledge of the source code and its application.","I don’t think there is a big difference, I have a bad memory in both cases.","Iterate over the plugins given in args, for each, verify if plugin is in the _plugins dicts, and then append result to a list of data.","Did not have time to finish, but what I wanted to do was add a 5th elem to the list, containing the time.time() value right after the initialization.","Start counter at 0, while counter is < than a certain value given in params, handle requests else end.",Not done,Not done,I don’t remember this one.,4,2,2,"Take more time understanding what the tool does, and understand properly what is asked before starting anything.",No thank you.
p109,Yes,"ChatGPT, Copilot (GitHub), Claude","Generating code, Debugging or troubleshooting, Idea brainstorming",Daily,4,2,"Incorrect or irrelevant suggestions, Difficulty integrating AI suggestions into my workflow","Peer. I prefer the human interaction, also, my peer kept asked me questions to give them context about the code which helped me understand better the code overall.",GitHub Copilot. Because I don’t get distracted while waiting for an answer. Getting an immediate response helps me stay focused on the task.,"Github Copilote helps code better because it usually generates clean and commented code, which serves as a template to improve my own coding style. It also forces me to improve my code.","It depends. GitHub Copilot is faster because it provides immediate responses so it’s ideal for short and straightforward tasks. But if I’m working on a new and large codebase, working with a peer is faster because I can ask deeper questions about the structure of the code and about reason some decision were made that would make me reach my productive stage much faster.","I trust a peer more and Copilot, because I’ve experienced many times hallucinations and often Copilot would fail to generate code with the desired result for complex tasks",I retain more information when consulting a peer. A peer helps me get a high level understanding of the code by answering deep questions and explaining some of the decisions and the reasoning behind them. Copilot doesn’t offer that level of explainability.,not applicable,I don’t remember the solution.,"Added a new variable self.requests_handled. Didn’t increment, the variable yet but tried getting the condition right. Called the end method right after the condition ( self.requests_handled == limit, which is a parameter of the method).",not applicable,not applicable,not applicable,7,4,4,"I would’ve asked my peer straight away question about the tasks instead of trying to immediately solve the question. This would’ve added much needed context to the code, and more information that I only discovered later during the task.","The experiment was done using an unfamiliar IDE (I usually code with VSCODE), so my productivity was lower and much of my attention was split on trying to figure the key binds instead of focusing on the task. Also, I was coding using a unfamiliar keyboard layout for the 1st task (QWERTY Canadian instead of QWERTY US). I would suggest either considering these inconsistencies or let the participant use their own custom keybinds/IDE to focus more on the tasks rather than external stimuli."
p110,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Correcting codes",Daily,4,3,Incorrect or irrelevant suggestions,I prefer working with Github copilot because its faster.,"Yes, i can ask whatever i want without being shy","Yes, because it will search in all the data that Github is trained but the peer will only use his knowledge ","Yes , peer will take more time because its human its not based on alll data that Github has",Depends based on the solution,It depends on the question and how focused i was,I don’t remember ,I don’t remember ,I don’t remember,I don’t remember ,I don’t remember ,I don’t remember ,6,3,2,Maybe ask the peer to answer as he/she doesn’t know the solutions of the questions just as a new work for both of us and answer based on this,
p111,Yes,"ChatGPT, Copilot (GitHub), Copilot inline (not chat), gpt o1, o1-preview, 4o","Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Daily,5,4,Lack of explainability in AI outputs,"Copilot, no need to be nice. I can just paste random code and explain later.","Copilot, I don’t have to focus on a conversation, I can focus on the code more.","Copilot, it’s hard to judge the knowledge of the peer.","Copilot, no need to wait or converse","A peer, I can confirm that what I did is good. Copilot has extreme confirmation bias.","Peer, with a peer you need to provide more context and read the code that you copy before sending it over.",N/A,Appended the tag and the time.time() timestamp to the list after importing time,"Serving requests with a counter, but I don’t remember so well.","logging the username, but didn’t finish","Counting plugins that are enabled and disabled, using an argument to do this but a bit vague","Didn’t finish, I was trying to filter using the filter list",7,4,5,I would be more explicit about what I’m trying to achieve with my peer,
p112,Yes,ChatGPT,I wanted to know more about hierarchical state machines,Rarely or never,1,1,"Lack of explainability in AI outputs, Not being used to having it give me code that I should assume is correct and that I am not familiar with","Peer, it is more stimulating.","Peer, it is more stimulating.","Peer, I trust their answers more and we can debate if there is doubt.","Peer, I am not used to Copilot yet so I was not willing to trust its outputs.","Peer, we can debate when there is doubt.","Peer, the experience is much easier to remember. With Copilot, I feel like I lose concentration more.

If I were to do these tasks again, I would do it with a peer or alone.",I do not remember.,I do not remember.,"I knew the solution was to just add a counter member to the server class but I was stumped on figuring out how to get the server requests limit (I was not familiar with the libraries used). Copilot gave me code but I would not trust it unless I understood how the config files worked and what was written in them. Because of the time limit, I ended up just pasting the output from Copilot and moving on.",I just used logger.info(msg...) and concatenated a string with the username. I just changed the message from 'login successful' to 'login failed' depending on which case we were in.,I added second pass to the method where we remove the plugins that were not in the provided filter list.,I do not remember.,6,2,4,"If given a peer, I would ask them more questions. If alone, I would keep looking at how the project works to answer the questions.",It was fun! The eye tracker was cool but the related software seemed to have issues...
p113,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Daily,5,4,"Incorrect or irrelevant suggestions, Difficulty integrating AI suggestions into my workflow, Lack of explainability in AI outputs, Ethical concerns about data privacy or security","I prefer working with GitHub Copilot because I can get responses way faster and with more precision. With the peer, it takes more time since he doesn't have access to all my files.","I think my concentration is better when working with GitHub Copilot because I don't spend more time trying to explain all the code, I can just ask and it gives me an answer which means I can stay focused on the main issues.","I think the quality of my code is better when working with GitHub Copilot because it gives me a direct answer based on my code and the files that I am working on, instead of giving me hints on what I should improve like what the peer did.","I think I work faster with GitHub Copilot because it can give a direct answer to my question. If I ask something to the peer, I have to take more time giving him context and explaining what I am trying to do.","I trust both of them, but I have to say that I trust GitHub Copilot a bit more since it has already access to all my code, so it knows how to perfectly answer the question based on all the files that I am currently working on.","Since I spend more time explaining my code to the peer and since I discuss the answer more with the peer than with the AI, I retain information much more with a peer. If I had to solve the tasks again, the peer's solutions would come to mind more easily since we actually had a discussion about those answers.","I didn't have time to do this task unfortunately, but I would've used all the help needed to get the task done.",It uses the time library to get a timestamp on when the values are initialized.,"I didn't have time to do this task unfortunately, but I would've used all the help needed to get the task done.","I didn't have time to do this task unfortunately, but I would've used all the help needed to get the task done.","I didn't have time to do this task unfortunately, but I would've used all the help needed to get the task done.","I checked if the second parameter was given using the if statement, and returned the plugings whose names where in the filter_list. If the optional parameter was not given, I just returned all the plugins.",10,5,4,"If I am in a time crunch, I would use the AI to speed up my programming. If I want to have a better understanding of the code, I would ask the peer for more help and guidance. Other than that, I wouldn't change anything else.","It was my first time working with this type of program, and I thoroughly enjoyed my experience."
